iter	Passed	Remaining
578	28433	20674
579	28477	20621
580	28517	20566
581	28567	20517
582	28615	20467
583	28670	20423
584	28714	20370
585	28763	20320
586	28821	20278
587	28873	20230
588	28923	20182
589	28972	20133
590	29019	20082
591	29070	20034
592	29115	19983
593	29161	19931
594	29210	19882
595	29263	19836
596	29306	19783
597	29347	19728
598	29384	19671
599	29423	19615
600	29468	19563
601	29522	19518
602	29578	19473
603	29629	19425
604	29683	19380
605	29735	19332
606	29788	19286
607	29836	19236
608	29889	19190
609	29947	19147
610	29998	19099
611	30051	19051
612	30099	19002
613	30148	18953
614	30202	18907
615	30253	18859
616	30305	18811
617	30365	18769
618	30448	18741
619	30548	18723
620	30648	18705
621	30720	18669
622	30775	18623
623	30839	18582
624	30904	18542
625	30963	18498
626	31075	18486
627	31133	18442
628	31186	18394
629	31284	18373
630	31331	18322
631	31373	18268
632	31424	18219
633	31473	18169
634	31532	18124
635	31585	18077
636	31631	18025
637	31673	17971
638	31720	17920
639	31767	17869
640	31815	17818
641	31862	17767
642	31909	17716
643	31949	17661
644	31992	17608
645	32037	17556
646	32075	17500
647	32120	17448
648	32179	17403
649	32251	17366
650	32301	17316
651	32349	17266
652	32388	17210
653	32429	17157
654	32474	17105
655	32521	17054
656	32556	16996
657	32605	16946
658	32657	16898
659	32710	16850
660	32754	16798
661	32800	16747
662	32846	16695
663	32894	16645
664	32944	16596
665	32990	16544
666	33076	16513
667	33174	16487
668	33258	16455
669	33318	16410
670	33382	16367
671	33472	16337
672	33533	16293
673	33588	16246
674	33641	16197
675	33695	16150
676	33750	16102
677	33805	16054
678	33856	16005
679	33912	15958
680	33969	15912
681	34110	15904
682	34224	15884
683	34316	15853
684	34387	15813
685	34446	15767
686	34493	15715
687	34557	15671
688	34601	15618
689	34652	15568
690	34694	15514
691	34744	15464
692	34794	15413
693	34851	15366
694	34899	15315
695	34943	15262
696	34987	15209
697	35033	15157
698	35076	15104
699	35122	15052
700	35169	15001
701	35213	14948
702	35264	14898
703	35312	14847
704	35358	14795
705	35402	14742
706	35448	14690
707	35495	14639
708	35550	14591
709	35604	14542
710	35655	14492
711	35702	14441
712	35747	14389
713	35794	14337
714	35835	14284
715	35872	14228
716	35911	14174
717	35963	14124
718	36005	14071
719	36048	14018
720	36093	13966
721	36141	13916
722	36188	13864
723	36238	13814
724	36292	13766
725	36339	13715
726	36386	13663
727	36438	13614
728	36484	13562
729	36538	13514
730	36584	13462
731	36630	13411
732	36674	13359
733	36724	13308
734	36776	13259
735	36821	13207
736	36887	13163
737	36941	13114
738	36987	13063
739	37036	13012
740	37076	12959
741	37115	12905
742	37165	12855
743	37211	12803
744	37257	12752
745	37300	12700
746	37357	12652
747	37408	12602
748	37458	12553
749	37506	12502
750	37552	12450
751	37593	12397
752	37647	12349
753	37690	12296
754	37730	12243
755	37773	12191
756	37824	12141
757	37879	12093
758	37929	12043
759	37976	11992
760	38019	11940
761	38065	11889
762	38106	11836
763	38151	11784
764	38191	11732
765	38233	11679
766	38281	11629
767	38325	11577
768	38368	11525
769	38414	11474
770	38462	11424
771	38502	11371
772	38552	11321
773	38605	11272
774	38659	11223
775	38703	11172
776	38745	11120
777	38798	11070
778	38837	11018
779	38883	10967
780	38925	10915
781	38968	10863
782	39013	10812
783	39056	10760
784	39102	10709
785	39155	10660
786	39206	10611
787	39257	10561
788	39307	10511
789	39353	10461
790	39401	10410
791	39455	10361
792	39510	10313
793	39560	10263
794	39604	10212
795	39650	10161
796	39695	10110
797	39736	10058
798	39782	10007
799	39824	9956
800	39867	9904
801	39910	9853
802	39955	9802
803	39999	9751
804	40041	9699
805	40090	9649
806	40144	9600
807	40202	9553
808	40256	9504
809	40303	9453
810	40348	9403
811	40395	9352
812	40436	9300
813	40483	9250
814	40528	9199
815	40571	9148
816	40617	9097
817	40666	9047
818	40705	8995
819	40751	8945
820	40802	8895
821	40845	8844
822	40889	8793
823	40929	8742
824	40966	8689
825	41009	8638
826	41049	8587
827	41095	8536
828	41133	8484
829	41170	8432
830	41207	8380
831	41244	8328
832	41277	8275
833	41312	8222
834	41349	8170
835	41387	8119
836	41424	8067
837	41465	8015
838	41507	7965
839	41549	7914
840	41592	7863
841	41636	7813
842	41682	7762
843	41728	7712
844	41770	7661
845	41819	7612
846	41857	7560
847	41895	7509
848	41936	7458
849	41977	7407
850	42024	7358
851	42071	7308
852	42145	7262
853	42201	7214
854	42249	7165
855	42292	7114
856	42331	7063
857	42371	7012
858	42410	6961
859	42450	6910
860	42488	6859
861	42529	6808
862	42567	6757
863	42603	6706
864	42645	6655
865	42683	6604
866	42725	6554
867	42762	6503
868	42805	6452
869	42846	6402
870	42888	6352
871	42927	6301
872	42964	6250
873	43001	6199
874	43041	6148
875	43078	6097
876	43116	6047
877	43155	5996
878	43192	5945
879	43226	5894
880	43263	5843
881	43299	5792
882	43336	5742
883	43373	5691
884	43411	5641
885	43447	5590
886	43486	5539
887	43524	5489
888	43559	5438
889	43594	5388
890	43633	5337
891	43677	5288
892	43721	5238
893	43765	5189
894	43810	5139
895	43851	5089
896	43900	5040
897	43948	4991
898	43988	4942
899	44030	4892
900	44074	4842
901	44120	4793
902	44165	4744
903	44207	4694
904	44253	4645
905	44304	4596
906	44350	4547
907	44397	4498
908	44447	4449
909	44495	4400
910	44544	4351
911	44600	4303
912	44651	4254
913	44696	4205
914	44739	4156
915	44786	4107
916	44832	4057
917	44881	4008
918	44932	3960
919	44975	3910
920	45025	3862
921	45074	3813
922	45124	3764
923	45167	3715
924	45216	3666
925	45261	3617
926	45308	3567
927	45361	3519
928	45407	3470
929	45452	3421
930	45494	3371
931	45538	3322
932	45583	3273
933	45626	3224
934	45667	3174
935	45719	3126
936	45764	3077
937	45807	3027
938	45847	2978
939	45895	2929
940	45942	2880
941	45986	2831
942	46031	2782
943	46072	2733
944	46115	2683
945	46156	2634
946	46202	2585
947	46246	2536
948	46292	2487
949	46336	2438
950	46380	2389
951	46427	2340
952	46469	2291
953	46511	2242
954	46554	2193
955	46601	2144
956	46649	2096
957	46693	2047
958	46740	1998
959	46791	1949
960	46842	1900
961	46889	1852
962	46937	1803
963	46982	1754
964	47028	1705
965	47077	1656
966	47128	1608
967	47173	1559
968	47215	1510
969	47263	1461
970	47308	1412
971	47352	1364
972	47401	1315
973	47450	1266
974	47491	1217
975	47535	1168
976	47582	1120
977	47648	1071
978	47697	1023
979	47742	974
980	47788	925
981	47833	876
982	47881	828
983	47924	779
984	47972	730
985	48020	681
986	48069	633
987	48116	584
988	48163	535
989	48212	486
990	48262	438
991	48308	389
992	48359	340
993	48407	292
994	48457	243
995	48509	194
996	48559	146
997	48608	97
998	48656	48
999	48702	0
